study,figure_type,target,N,hash,source_csv,figure_pdf,figure_png
main7,indices,collapse_quarter,256,443a133853,sobol_K30_N256_seeds5_1st_443a133853_indices.csv,sobol_collapse_quarter_main7_K30_N256_443a133853.pdf,sobol_collapse_quarter_main7_K30_N256_443a133853.png
main7,indices,peak_mutiny,256,443a133853,sobol_K30_N256_seeds5_1st_443a133853_indices.csv,sobol_peak_mutiny_main7_K30_N256_443a133853.pdf,sobol_peak_mutiny_main7_K30_N256_443a133853.png
main7,indices,collapse_quarter,1024,e1a5e7a017,sobol_K30_N1024_seeds5_1st_e1a5e7a017_indices.csv,sobol_collapse_quarter_main7_K30_N1024_e1a5e7a017.pdf,sobol_collapse_quarter_main7_K30_N1024_e1a5e7a017.png
main7,indices,peak_mutiny,1024,e1a5e7a017,sobol_K30_N1024_seeds5_1st_e1a5e7a017_indices.csv,sobol_peak_mutiny_main7_K30_N1024_e1a5e7a017.pdf,sobol_peak_mutiny_main7_K30_N1024_e1a5e7a017.png
main7,indices,collapse_quarter,2048,332afc4b45,sobol_K30_N2048_seeds5_1st_332afc4b45_indices.csv,sobol_collapse_quarter_main7_K30_N2048_332afc4b45.pdf,sobol_collapse_quarter_main7_K30_N2048_332afc4b45.png
main7,indices,peak_mutiny,2048,332afc4b45,sobol_K30_N2048_seeds5_1st_332afc4b45_indices.csv,sobol_peak_mutiny_main7_K30_N2048_332afc4b45.pdf,sobol_peak_mutiny_main7_K30_N2048_332afc4b45.png
main7,convergence,collapse_quarter,"[256, 1024, 2048]",443a133853-e1a5e7a017-332afc4b45,sobol_K30_N256_seeds5_1st_443a133853_indices.csv+sobol_K30_N1024_seeds5_1st_e1a5e7a017_indices.csv+sobol_K30_N2048_seeds5_1st_332afc4b45_indices.csv,sobol_convergence_collapse_quarter_main7_K30_N256_1024_2048_443a133853-e1a5e7a017-332afc4b45.pdf,sobol_convergence_collapse_quarter_main7_K30_N256_1024_2048_443a133853-e1a5e7a017-332afc4b45.png
main7,convergence,peak_mutiny,"[256, 1024, 2048]",443a133853-e1a5e7a017-332afc4b45,sobol_K30_N256_seeds5_1st_443a133853_indices.csv+sobol_K30_N1024_seeds5_1st_e1a5e7a017_indices.csv+sobol_K30_N2048_seeds5_1st_332afc4b45_indices.csv,sobol_convergence_peak_mutiny_main7_K30_N256_1024_2048_443a133853-e1a5e7a017-332afc4b45.pdf,sobol_convergence_peak_mutiny_main7_K30_N256_1024_2048_443a133853-e1a5e7a017-332afc4b45.png
timing4,indices,collapse_quarter,256,1a32816a1a,sobol_K30_N256_seeds5_1st_1a32816a1a_indices.csv,sobol_collapse_quarter_timing4_K30_N256_1a32816a1a.pdf,sobol_collapse_quarter_timing4_K30_N256_1a32816a1a.png
timing4,indices,peak_mutiny,256,1a32816a1a,sobol_K30_N256_seeds5_1st_1a32816a1a_indices.csv,sobol_peak_mutiny_timing4_K30_N256_1a32816a1a.pdf,sobol_peak_mutiny_timing4_K30_N256_1a32816a1a.png
timing4,indices,collapse_quarter,1024,27ed917c0e,sobol_K30_N1024_seeds5_1st_27ed917c0e_indices.csv,sobol_collapse_quarter_timing4_K30_N1024_27ed917c0e.pdf,sobol_collapse_quarter_timing4_K30_N1024_27ed917c0e.png
timing4,indices,peak_mutiny,1024,27ed917c0e,sobol_K30_N1024_seeds5_1st_27ed917c0e_indices.csv,sobol_peak_mutiny_timing4_K30_N1024_27ed917c0e.pdf,sobol_peak_mutiny_timing4_K30_N1024_27ed917c0e.png
timing4,indices,collapse_quarter,2048,d8da7e305f,sobol_K30_N2048_seeds5_1st_d8da7e305f_indices.csv,sobol_collapse_quarter_timing4_K30_N2048_d8da7e305f.pdf,sobol_collapse_quarter_timing4_K30_N2048_d8da7e305f.png
timing4,indices,peak_mutiny,2048,d8da7e305f,sobol_K30_N2048_seeds5_1st_d8da7e305f_indices.csv,sobol_peak_mutiny_timing4_K30_N2048_d8da7e305f.pdf,sobol_peak_mutiny_timing4_K30_N2048_d8da7e305f.png
timing4,indices,collapse_quarter,4096,e678bb078d,sobol_K30_N4096_seeds5_1st_e678bb078d_indices.csv,sobol_collapse_quarter_timing4_K30_N4096_e678bb078d.pdf,sobol_collapse_quarter_timing4_K30_N4096_e678bb078d.png
timing4,indices,peak_mutiny,4096,e678bb078d,sobol_K30_N4096_seeds5_1st_e678bb078d_indices.csv,sobol_peak_mutiny_timing4_K30_N4096_e678bb078d.pdf,sobol_peak_mutiny_timing4_K30_N4096_e678bb078d.png
timing4,convergence,collapse_quarter,"[256, 1024, 2048, 4096]",1a32816a1a-27ed917c0e-d8da7e305f-e678bb078d,sobol_K30_N256_seeds5_1st_1a32816a1a_indices.csv+sobol_K30_N1024_seeds5_1st_27ed917c0e_indices.csv+sobol_K30_N2048_seeds5_1st_d8da7e305f_indices.csv+sobol_K30_N4096_seeds5_1st_e678bb078d_indices.csv,sobol_convergence_collapse_quarter_timing4_K30_N256_1024_2048_4096_1a32816a1a-27ed917c0e-d8da7e305f-e678bb078d.pdf,sobol_convergence_collapse_quarter_timing4_K30_N256_1024_2048_4096_1a32816a1a-27ed917c0e-d8da7e305f-e678bb078d.png
timing4,convergence,peak_mutiny,"[256, 1024, 2048, 4096]",1a32816a1a-27ed917c0e-d8da7e305f-e678bb078d,sobol_K30_N256_seeds5_1st_1a32816a1a_indices.csv+sobol_K30_N1024_seeds5_1st_27ed917c0e_indices.csv+sobol_K30_N2048_seeds5_1st_d8da7e305f_indices.csv+sobol_K30_N4096_seeds5_1st_e678bb078d_indices.csv,sobol_convergence_peak_mutiny_timing4_K30_N256_1024_2048_4096_1a32816a1a-27ed917c0e-d8da7e305f-e678bb078d.pdf,sobol_convergence_peak_mutiny_timing4_K30_N256_1024_2048_4096_1a32816a1a-27ed917c0e-d8da7e305f-e678bb078d.png
restricted_w1_w4,indices,collapse_quarter,2048,c01bb78272,sobol_K30_N2048_seeds5_2nd_c01bb78272_indices.csv,sobol_collapse_quarter_restricted_w1_w4_K30_N2048_c01bb78272.pdf,sobol_collapse_quarter_restricted_w1_w4_K30_N2048_c01bb78272.png
