timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
1786433037107,0,v1,0.0791,0.492,0.2388,2.3005,0.1292,0.032,0.1696,0.001318,0.719,0,6,94.51,0.951,1,0,5.0,5.0,0,30,5922,240064.9,87.71,16,5.25
1786433038510,1,v1,0.0429,0.8219,0.4642,1.0514,0.3946,0.032,0.1841,0.002494,0.703,0,35,28.67,0.498,1,0,18.937,18.937,0,30,5409,155169.3,84.41,16,9.95
1786433039743,2,v1,0.0553,0.8835,0.1699,1.0528,0.5046,0.032,0.1433,0.001619,0.636,1,24,80.45,0.457,1,0,15.76,15.76,0,30,5934,158561.4,89.56,14,6.66
1786433041577,3,v1,0.0539,0.3624,0.1703,1.9435,0.4485,0.032,0.2265,0.003455,0.683,0,4,92.7,0.667,1,0,3.0,3.0,0,30,6384,196679.7,87.54,16,12.84
1786433043255,4,v1,0.0779,0.6227,0.4887,1.6781,0.765,0.032,0.1271,0.00335,0.648,1,31,88.82,0.434,1,0,17.108,17.108,0,30,7479,198350.5,94.29,14,13.57
1786433045323,5,v1,0.0568,0.5767,0.4486,1.1518,0.9813,0.032,0.1966,0.001774,0.681,0,14,47.04,0.73,1,2381,13.0,8.189,0,30,5576,227445.9,49.02,15,7.07
1786433047716,6,v1,0.075,0.9047,0.2774,2.3536,0.3212,0.032,0.0641,0.003634,0.643,0,10,60.92,0.513,1,2338,9.0,6.216,0,30,6059,246497.3,57.45,15,13.19
1786433038020,7,v1,0.032,0.8727,0.3392,2.117,0.2201,0.032,0.1084,0.001752,0.598,1,12,72.98,0.452,1,3136,11.0,5.35,0,30,6219,282157.5,41.16,14,6.88
1786433039415,8,v1,0.0228,0.3563,0.4075,1.6376,0.751,0.032,0.1108,0.003664,0.712,0,20,42.33,0.805,1,646,18.683,16.862,0,30,6453,248056.3,73.21,18,13.16
1786433041188,9,v1,0.0428,0.3407,0.3795,2.1207,0.3449,0.032,0.1875,0.001599,0.614,0,26,77.12,0.786,1,0,16.338,16.338,0,30,6317,164058.6,95.65,14,6.98
1786433043240,10,v1,0.0793,0.4952,0.2507,1.9386,0.4274,0.032,0.133,0.003183,0.703,1,9,63.49,0.762,1,5796,8.0,0.231,0,30,6132,356375.0,2.8,-1,12.54
1786433045024,11,v1,0.0269,0.486,0.4206,0.8444,0.624,0.032,0.2047,0.003517,0.67,1,34,63.67,0.76,1,0,18.697,18.697,0,30,5901,173999.2,84.76,16,13.22
1786433046976,12,v1,0.0145,0.5282,0.2967,1.0936,0.9528,0.032,0.0525,0.002585,0.67,1,33,69.9,0.929,1,0,19.823,19.823,0,30,6232,203040.8,84.67,17,9.55
1786433048998,13,v1,0.0288,0.8305,0.4447,0.9981,0.2076,0.032,0.1332,0.002414,0.632,1,25,72.46,0.9,1,0,15.735,15.735,0,30,6309,166089.0,86.47,14,9.42
1786433038392,14,v1,0.018,0.3782,0.2992,1.5659,0.5929,0.032,0.164,0.002299,0.582,0,9,80.91,0.432,1,1812,8.0,6.129,0,30,5932,201027.8,61.31,12,9.05
1786433039471,15,v1,0.0582,0.4512,0.2104,1.4308,0.4375,0.032,0.1376,0.001572,0.676,1,31,78.55,0.939,1,0,17.877,17.877,0,30,6182,181965.6,92.4,15,5.92
1786433040920,16,v1,0.0369,0.7667,0.1693,0.8618,0.4672,0.032,0.2444,0.001248,0.592,1,33,30.5,0.581,1,793,15.414,13.294,0,30,5915,151461.5,90.86,11,4.9
1786433042412,17,v1,0.0175,0.8005,0.3444,1.314,0.9983,0.032,0.0626,0.003216,0.633,0,23,48.54,0.503,1,0,16.307,16.307,0,30,5763,159554.7,86.58,15,11.19
