timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
1786080947251,0,v1,0.0244,0.4016,0.1583,1.3445,0.2247,0.02758,0.185,0.001818,0.648,0,35,54.01,0.839,1,0,14.563,14.563,1,50,11159,257872.7,100.0,13,6.99
1786080951746,1,v1,0.031,0.5492,0.3744,2.3111,0.1022,0.02022,0.1613,0.001329,0.695,1,5,51.65,0.976,1,10861,4.0,0.0,0,50,10916,634152.9,0.0,-1,5.45
1786080954691,2,v1,0.0573,0.2538,0.4747,2.3145,0.9613,0.01924,0.2217,0.003128,0.653,0,5,93.65,0.49,1,0,4.0,4.0,0,50,11328,332043.4,85.29,16,11.85
1786080956693,3,v1,0.0673,0.8448,0.3046,2.4431,0.5047,0.03115,0.2064,0.001256,0.616,0,27,63.35,0.328,1,0,10.436,10.436,1,50,9323,141576.7,100.0,5,4.68
1786080947862,4,v1,0.0355,0.9083,0.3054,1.2489,0.9824,0.02215,0.145,0.002335,0.686,0,10,50.91,0.678,1,4432,9.0,5.811,1,50,9928,255283.3,100.0,13,25.09
1786080950524,5,v1,0.0365,0.5012,0.4167,1.8092,0.2166,0.02016,0.1941,0.003757,0.638,0,15,88.42,0.391,1,0,14.0,14.0,0,50,9719,326106.2,89.4,16,13.31
1786080953097,6,v1,0.069,0.3305,0.2517,1.1612,0.2569,0.03072,0.1498,0.003734,0.691,1,6,92.31,0.53,1,7617,5.0,1.323,1,50,10514,282580.3,100.0,13,17.37
1786080955362,7,v1,0.0515,0.5129,0.2487,2.1709,0.7053,0.0253,0.054,0.001244,0.626,0,24,27.39,0.485,1,462,11.557,11.114,1,50,10029,191129.0,100.0,8,5.13
1786080948466,8,v1,0.0184,0.3979,0.3872,2.4333,0.737,0.02428,0.1796,0.002837,0.653,1,36,37.59,0.816,1,1544,14.816,12.303,1,50,9956,228062.3,100.0,13,10.76
1786080950687,9,v1,0.05,0.3705,0.2293,0.8228,0.7523,0.03014,0.0526,0.003657,0.581,1,28,86.39,0.923,1,0,13.308,13.308,0,50,10445,208051.0,85.55,10,13.67
1786080952956,10,v1,0.0554,0.3162,0.3899,2.0532,0.375,0.03012,0.1083,0.001547,0.618,0,5,37.78,0.754,1,4200,4.0,3.14,1,50,9834,215299.9,100.0,13,46.67
1786080955656,11,v1,0.0201,0.9731,0.4028,1.6983,0.8971,0.00759,0.1129,0.003329,0.59,1,10,33.91,0.443,1,5060,9.0,4.522,1,50,10478,266071.2,100.0,13,55.81
1786080948811,12,v1,0.0494,0.6075,0.4158,1.8972,0.3363,0.02504,0.2477,0.001816,0.693,0,27,57.26,0.38,1,0,13.855,13.855,1,50,10755,250943.1,100.0,13,7.07
1786080951211,13,v1,0.0753,0.5049,0.1124,1.4364,0.9791,0.02592,0.2473,0.003678,0.587,0,19,73.5,0.715,1,0,14.686,14.686,0,50,10006,261989.6,84.24,14,13.52
1786080954457,14,v1,0.0404,0.6808,0.3759,1.3207,0.1263,0.02516,0.2234,0.002027,0.697,0,9,97.75,0.918,1,0,8.0,8.0,0,50,10027,451058.1,86.75,17,7.89
1786080957214,15,v1,0.0236,0.9782,0.1714,1.5092,0.6496,0.0213,0.1317,0.003077,0.633,1,34,33.33,0.666,1,1230,19.809,17.252,0,50,10454,349771.2,83.83,16,11.52
