target,sample_size,feature,mean_abs_shap
classification,1000,w1_energy,1.3623319
classification,1000,w2_drought,0.023420021
classification,1000,w3_rebellion,0.11806023
classification,1000,w4_policy,0.25292373
classification,1000,w5_social,0.013017398
classification,1000,despair_rate,0.50397646
classification,1000,threshold,0.5388421
classification,1000,rebellion_sentence_weight,0.017961703
classification,1000,natural_death_rate_quarterly,0.02241978
classification,1000,intervention_type,1.5846499
classification,1000,drought_enabled,1.6498038
classification,2000,w1_energy,1.3185498
classification,2000,w2_drought,0.023092842
classification,2000,w3_rebellion,0.11767839
classification,2000,w4_policy,0.24971896
classification,2000,w5_social,0.012748867
classification,2000,despair_rate,0.51578194
classification,2000,threshold,0.5433799
classification,2000,rebellion_sentence_weight,0.017224075
classification,2000,natural_death_rate_quarterly,0.02290115
classification,2000,intervention_type,1.6142374
classification,2000,drought_enabled,1.6273018
classification,4000,w1_energy,1.3183199
classification,4000,w2_drought,0.023108391
classification,4000,w3_rebellion,0.11929488
classification,4000,w4_policy,0.24647237
classification,4000,w5_social,0.012795344
classification,4000,despair_rate,0.5193106
classification,4000,threshold,0.55897796
classification,4000,rebellion_sentence_weight,0.017534394
classification,4000,natural_death_rate_quarterly,0.023149159
classification,4000,intervention_type,1.6082929
classification,4000,drought_enabled,1.6240361
classification,8000,w1_energy,1.3164357
classification,8000,w2_drought,0.022461846
classification,8000,w3_rebellion,0.119467996
classification,8000,w4_policy,0.249128
classification,8000,w5_social,0.012832517
classification,8000,despair_rate,0.52394676
classification,8000,threshold,0.5660504
classification,8000,rebellion_sentence_weight,0.017428018
classification,8000,natural_death_rate_quarterly,0.02303076
classification,8000,intervention_type,1.597845
classification,8000,drought_enabled,1.6120677
classification,16000,w1_energy,1.3181313
classification,16000,w2_drought,0.022762574
classification,16000,w3_rebellion,0.11991642
classification,16000,w4_policy,0.2490001
classification,16000,w5_social,0.012818645
classification,16000,despair_rate,0.5262101
classification,16000,threshold,0.55910885
classification,16000,rebellion_sentence_weight,0.017079398
classification,16000,natural_death_rate_quarterly,0.022655094
classification,16000,intervention_type,1.5967014
classification,16000,drought_enabled,1.6147649
