target,sample_size,feature,mean_abs_shap
regression,1000,w1_energy,1.199406
regression,1000,w2_drought,0.15806872
regression,1000,w3_rebellion,0.16674067
regression,1000,w4_policy,0.21794029
regression,1000,w5_social,0.07855418
regression,1000,despair_rate,0.5459304
regression,1000,threshold,0.9017798
regression,1000,rebellion_sentence_weight,0.03355126
regression,1000,natural_death_rate_quarterly,0.037921652
regression,1000,intervention_type,0.74669784
regression,1000,drought_enabled,1.0771724
regression,2000,w1_energy,1.1850477
regression,2000,w2_drought,0.1554395
regression,2000,w3_rebellion,0.16261414
regression,2000,w4_policy,0.21552584
regression,2000,w5_social,0.079289556
regression,2000,despair_rate,0.5405031
regression,2000,threshold,0.87851506
regression,2000,rebellion_sentence_weight,0.033508617
regression,2000,natural_death_rate_quarterly,0.039153118
regression,2000,intervention_type,0.7568699
regression,2000,drought_enabled,1.0677453
regression,4000,w1_energy,1.183389
regression,4000,w2_drought,0.15293607
regression,4000,w3_rebellion,0.16381535
regression,4000,w4_policy,0.21575621
regression,4000,w5_social,0.079932384
regression,4000,despair_rate,0.5449545
regression,4000,threshold,0.8789972
regression,4000,rebellion_sentence_weight,0.034017555
regression,4000,natural_death_rate_quarterly,0.040010963
regression,4000,intervention_type,0.76228887
regression,4000,drought_enabled,1.0672661
regression,8000,w1_energy,1.2086924
regression,8000,w2_drought,0.1496678
regression,8000,w3_rebellion,0.1628241
regression,8000,w4_policy,0.21969646
regression,8000,w5_social,0.07897894
regression,8000,despair_rate,0.5536841
regression,8000,threshold,0.87529606
regression,8000,rebellion_sentence_weight,0.033578362
regression,8000,natural_death_rate_quarterly,0.039650954
regression,8000,intervention_type,0.7716107
regression,8000,drought_enabled,1.0732466
regression,16000,w1_energy,1.2106421
regression,16000,w2_drought,0.1500585
regression,16000,w3_rebellion,0.16288969
regression,16000,w4_policy,0.21583275
regression,16000,w5_social,0.0783959
regression,16000,despair_rate,0.55147517
regression,16000,threshold,0.8679123
regression,16000,rebellion_sentence_weight,0.033704005
regression,16000,natural_death_rate_quarterly,0.03930572
regression,16000,intervention_type,0.7719446
regression,16000,drought_enabled,1.0735246
