row_index,replicate_id,timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
0,0,1786308524539,sobol_0_0,v1,0.0101,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.648,0,16,28.64,0.613,1,1134,15.0,12.3,1,30,5645,148037.2,100.0,15,27.53
0,1,1786308526303,sobol_0_1,v1,0.0101,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.648,1,16,98.5,0.613,1,4518,15.0,2.22,0,30,5601,311323.8,12.66,-1,13.09
0,2,1786308528470,sobol_0_2,v1,0.0101,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.648,0,16,36.98,0.613,1,2167,15.0,10.504,0,30,6489,319127.1,36.64,19,8.88
0,3,1786308530632,sobol_0_3,v1,0.0101,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.648,0,16,50.6,0.613,1,2146,15.0,10.438,0,30,6470,367937.5,0.0,-1,14.61
0,4,1786308531901,sobol_0_4,v1,0.0101,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.648,1,16,93.52,0.613,1,5349,15.0,2.436,1,30,6536,189564.9,100.0,25,84.91
1,0,1786308533220,sobol_1_0,v1,0.049,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.648,0,16,28.64,0.613,1,0,13.45,13.45,1,30,5645,132824.8,100.0,13,8.29
1,1,1786308534780,sobol_1_1,v1,0.049,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.648,1,16,98.5,0.613,1,0,14.884,14.884,0,30,5601,156490.9,97.78,15,13.39
1,2,1786308536481,sobol_1_2,v1,0.049,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.648,0,16,36.98,0.613,1,1578,15.0,11.726,0,30,6489,251692.7,69.28,15,8.49
1,3,1786308525286,sobol_1_3,v1,0.049,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.648,0,16,50.6,0.613,1,2146,15.0,10.438,0,30,6470,296895.4,59.03,16,14.45
1,4,1786308526334,sobol_1_4,v1,0.049,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.648,1,16,93.52,0.613,1,0,13.817,13.817,1,30,6536,159285.2,100.0,14,5.49
2,0,1786308527768,sobol_2_0,v1,0.0101,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.648,0,31,28.64,0.613,1,0,16.954,16.954,1,30,5645,145339.8,100.0,15,8.45
2,1,1786308528769,sobol_2_1,v1,0.0101,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.648,1,31,98.5,0.613,1,0,18.629,18.629,0,30,5601,172284.7,89.23,16,13.27
2,2,1786308530699,sobol_2_2,v1,0.0101,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.648,0,31,36.98,0.613,1,0,12.63,12.63,0,30,6489,285501.9,56.71,18,8.49
2,3,1786308532889,sobol_2_3,v1,0.0101,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.648,0,31,50.6,0.613,1,0,0.0,0.0,0,30,6470,368069.3,0.0,-1,14.65
