row_index,replicate_id,timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
0,0,1785921058723,sobol_0_0,v1,0.0101,0.5012,0.2791,1.6276,0.6014,0.02748,0.1788,0.001692,0.614,0,10,38.92,0.396,1,1380,9.0,7.263,0,30,5645,218048.8,66.31,16,6.61
0,1,1785921060134,sobol_0_1,v1,0.0101,0.5012,0.2791,1.6276,0.6014,0.02748,0.1668,0.002836,0.614,1,18,40.02,0.982,1,0,13.0,13.0,1,30,5601,127574.3,100.0,13,10.93
0,2,1785921061551,sobol_0_2,v1,0.0101,0.5012,0.2791,1.6276,0.6014,0.02748,0.1512,0.001654,0.614,0,30,24.91,0.95,1,749,18.181,16.232,0,30,6489,208404.3,90.25,15,6.15
0,3,1785921063249,sobol_0_3,v1,0.0101,0.5012,0.2791,1.6276,0.6014,0.02748,0.1018,0.003572,0.614,0,33,27.5,0.712,1,497,18.969,17.509,0,30,6470,202370.6,90.44,16,13.96
0,4,1785921064759,sobol_0_4,v1,0.0101,0.5012,0.2791,1.6276,0.6014,0.02748,0.0612,0.001543,0.614,1,18,52.65,0.426,1,467,16.445,15.258,0,30,6536,223055.0,87.13,16,6.07
1,0,1785921066199,sobol_1_0,v1,0.0511,0.5012,0.2791,1.6276,0.6014,0.02748,0.1788,0.001692,0.614,0,10,38.92,0.396,1,1380,9.0,7.263,0,30,5645,206691.3,72.69,15,6.48
1,1,1785921067466,sobol_1_1,v1,0.0511,0.5012,0.2791,1.6276,0.6014,0.02748,0.1668,0.002836,0.614,1,18,40.02,0.982,1,0,10.79,10.79,1,30,5601,101610.3,100.0,6,10.48
1,2,1785921068702,sobol_1_2,v1,0.0511,0.5012,0.2791,1.6276,0.6014,0.02748,0.1512,0.001654,0.614,0,30,24.91,0.95,1,605,16.89,15.445,0,30,6489,187936.3,91.99,14,6.26
1,3,1785921058657,sobol_1_3,v1,0.0511,0.5012,0.2791,1.6276,0.6014,0.02748,0.1018,0.003572,0.614,0,33,27.5,0.712,1,0,17.665,17.665,0,30,6470,177740.1,98.7,15,14.17
1,4,1785921060550,sobol_1_4,v1,0.0511,0.5012,0.2791,1.6276,0.6014,0.02748,0.0612,0.001543,0.614,1,18,52.65,0.426,1,603,15.074,13.657,0,30,6536,208757.6,97.56,15,6.44
2,0,1785921062022,sobol_2_0,v1,0.0101,0.7574,0.2791,1.6276,0.6014,0.02748,0.1788,0.001692,0.614,0,10,38.92,0.396,1,1380,9.0,7.263,0,30,5645,218048.8,66.31,16,6.61
2,1,1785921063230,sobol_2_1,v1,0.0101,0.7574,0.2791,1.6276,0.6014,0.02748,0.1668,0.002836,0.614,1,18,40.02,0.982,1,0,13.0,13.0,1,30,5601,127574.3,100.0,13,10.93
2,2,1785921064677,sobol_2_2,v1,0.0101,0.7574,0.2791,1.6276,0.6014,0.02748,0.1512,0.001654,0.614,0,30,24.91,0.95,1,749,18.181,16.232,0,30,6489,208404.3,90.25,15,6.15
2,3,1785921066160,sobol_2_3,v1,0.0101,0.7574,0.2791,1.6276,0.6014,0.02748,0.1018,0.003572,0.614,0,33,27.5,0.712,1,497,18.969,17.509,0,30,6470,202370.6,90.44,16,13.96
2,4,1785921067931,sobol_2_4,v1,0.0101,0.7574,0.2791,1.6276,0.6014,0.02748,0.0612,0.001543,0.614,1,18,52.65,0.426,1,467,16.445,15.258,0,30,6536,223055.0,87.13,16,6.07
3,0,1785921069273,sobol_3_0,v1,0.0101,0.5012,0.3686,1.6276,0.6014,0.02748,0.1788,0.001692,0.614,0,10,38.92,0.396,1,1380,9.0,7.263,0,30,5645,214652.5,64.03,16,6.5
3,1,1785921058451,sobol_3_1,v1,0.0101,0.5012,0.3686,1.6276,0.6014,0.02748,0.1668,0.002836,0.614,1,18,40.02,0.982,1,0,12.997,12.997,1,30,5601,127546.4,100.0,13,10.93
3,2,1785921060196,sobol_3_2,v1,0.0101,0.5012,0.3686,1.6276,0.6014,0.02748,0.1512,0.001654,0.614,0,30,24.91,0.95,1,570,17.793,16.352,0,30,6489,199469.7,86.04,15,6.26
3,3,1785921061513,sobol_3_3,v1,0.0101,0.5012,0.3686,1.6276,0.6014,0.02748,0.1018,0.003572,0.614,0,33,27.5,0.712,1,377,18.555,17.48,0,30,6470,195336.6,84.27,16,13.6
3,4,1785921063264,sobol_3_4,v1,0.0101,0.5012,0.3686,1.6276,0.6014,0.02748,0.0612,0.001543,0.614,1,18,52.65,0.426,1,0,15.998,15.998,0,30,6536,202154.4,84.05,16,5.88
4,0,1785921064709,sobol_4_0,v1,0.0101,0.5012,0.2791,2.197,0.6014,0.02748,0.1788,0.001692,0.614,0,10,38.92,0.396,1,1380,9.0,7.263,0,30,5645,224484.1,65.39,17,6.34
4,1,1785921065921,sobol_4_1,v1,0.0101,0.5012,0.2791,2.197,0.6014,0.02748,0.1668,0.002836,0.614,1,18,40.02,0.982,1,0,13.0,13.0,1,30,5601,127574.3,100.0,13,10.93
4,2,1785921067508,sobol_4_2,v1,0.0101,0.5012,0.2791,2.197,0.6014,0.02748,0.1512,0.001654,0.614,0,30,24.91,0.95,1,720,18.9,16.941,0,30,6489,216948.3,90.12,16,6.09
4,3,1785921068800,sobol_4_3,v1,0.0101,0.5012,0.2791,2.197,0.6014,0.02748,0.1018,0.003572,0.614,0,33,27.5,0.712,1,0,19.781,19.781,0,30,6470,205188.5,89.88,17,13.89
4,4,1785921058913,sobol_4_4,v1,0.0101,0.5012,0.2791,2.197,0.6014,0.02748,0.0612,0.001543,0.614,1,18,52.65,0.426,1,1144,16.95,13.891,0,30,6536,252550.4,69.27,17,6.03
5,0,1785921060765,sobol_5_0,v1,0.0101,0.5012,0.2791,1.6276,0.9292,0.02748,0.1788,0.001692,0.614,0,10,38.92,0.396,1,1380,9.0,7.263,0,30,5645,217920.9,66.09,16,6.77
5,1,1785921061862,sobol_5_1,v1,0.0101,0.5012,0.2791,1.6276,0.9292,0.02748,0.1668,0.002836,0.614,1,18,40.02,0.982,1,0,13.0,13.0,1,30,5601,127574.3,100.0,13,10.93
5,2,1785921063552,sobol_5_2,v1,0.0101,0.5012,0.2791,1.6276,0.9292,0.02748,0.1512,0.001654,0.614,0,30,24.91,0.95,1,749,18.181,16.232,0,30,6489,208404.3,90.25,15,6.15
5,3,1785921065045,sobol_5_3,v1,0.0101,0.5012,0.2791,1.6276,0.9292,0.02748,0.1018,0.003572,0.614,0,33,27.5,0.712,1,497,18.969,17.509,0,30,6470,202370.6,90.44,16,13.96
5,4,1785921066565,sobol_5_4,v1,0.0101,0.5012,0.2791,1.6276,0.9292,0.02748,0.0612,0.001543,0.614,1,18,52.65,0.426,1,467,16.445,15.258,0,30,6536,223055.0,87.13,16,6.07
6,0,1785921068237,sobol_6_0,v1,0.0101,0.5012,0.2791,1.6276,0.6014,0.02349,0.1788,0.001692,0.614,0,10,38.92,0.396,1,1380,9.0,7.263,0,30,5645,227304.1,68.74,17,6.71
6,1,1785921069250,sobol_6_1,v1,0.0101,0.5012,0.2791,1.6276,0.6014,0.02349,0.1668,0.002836,0.614,1,18,40.02,0.982,1,0,13.0,13.0,1,30,5601,127574.3,100.0,13,10.93
6,2,1785921058747,sobol_6_2,v1,0.0101,0.5012,0.2791,1.6276,0.6014,0.02349,0.1512,0.001654,0.614,0,30,24.91,0.95,1,673,19.211,17.352,0,30,6489,220118.4,84.8,16,5.98
6,3,1785921060574,sobol_6_3,v1,0.0101,0.5012,0.2791,1.6276,0.6014,0.02349,0.1018,0.003572,0.614,0,33,27.5,0.712,1,384,19.936,18.745,0,30,6470,212569.6,93.88,17,14.02
6,4,1785921062409,sobol_6_4,v1,0.0101,0.5012,0.2791,1.6276,0.6014,0.02349,0.0612,0.001543,0.614,1,18,52.65,0.426,1,2265,17.0,10.93,0,30,6536,291412.7,54.63,17,6.12
7,0,1785921063812,sobol_7_0,v1,0.0101,0.5012,0.2791,1.6276,0.6014,0.02748,0.1788,0.001692,0.627,0,10,38.92,0.396,1,1380,9.0,7.263,0,30,5645,224726.1,65.79,17,6.48
7,1,1785921065081,sobol_7_1,v1,0.0101,0.5012,0.2791,1.6276,0.6014,0.02748,0.1668,0.002836,0.627,1,18,40.02,0.982,1,0,13.0,13.0,1,30,5601,127574.3,100.0,13,10.93
7,2,1785921066600,sobol_7_2,v1,0.0101,0.5012,0.2791,1.6276,0.6014,0.02748,0.1512,0.001654,0.627,0,30,24.91,0.95,1,546,18.917,17.432,0,30,6489,214137.1,89.9,16,6.26
7,3,1785921068246,sobol_7_3,v1,0.0101,0.5012,0.2791,1.6276,0.6014,0.02748,0.1018,0.003572,0.627,0,33,27.5,0.712,1,358,19.786,18.69,0,30,6470,210530.4,90.64,17,13.83
7,4,1785921069954,sobol_7_4,v1,0.0101,0.5012,0.2791,1.6276,0.6014,0.02748,0.0612,0.001543,0.627,1,18,52.65,0.426,1,1183,16.953,13.787,0,30,6536,254062.8,68.41,17,6.3
8,0,1785921058685,sobol_8_0,v1,0.0511,0.7574,0.3686,2.197,0.9292,0.02349,0.1788,0.001692,0.627,0,10,38.92,0.396,1,1380,9.0,7.263,0,30,5645,212161.1,68.3,15,6.4
8,1,1785921060082,sobol_8_1,v1,0.0511,0.7574,0.3686,2.197,0.9292,0.02349,0.1668,0.002836,0.627,1,18,40.02,0.982,1,0,11.223,11.223,1,30,5601,106653.0,100.0,8,10.55
8,2,1785921061567,sobol_8_2,v1,0.0511,0.7574,0.3686,2.197,0.9292,0.02349,0.1512,0.001654,0.627,0,30,24.91,0.95,1,812,17.65,15.618,0,30,6489,202077.9,89.8,15,6.15
8,3,1785921063252,sobol_8_3,v1,0.0511,0.7574,0.3686,2.197,0.9292,0.02349,0.1018,0.003572,0.627,0,33,27.5,0.712,1,465,18.243,16.944,0,30,6470,192481.8,92.91,15,13.31
8,4,1785921064736,sobol_8_4,v1,0.0511,0.7574,0.3686,2.197,0.9292,0.02349,0.0612,0.001543,0.627,1,18,52.65,0.426,1,554,15.644,14.282,0,30,6536,215686.2,91.22,15,6.04
9,0,1785921066426,sobol_9_0,v1,0.0451,0.9012,0.4791,2.4776,0.1514,0.01298,0.1788,0.001692,0.684,0,10,38.92,0.396,1,1380,9.0,7.263,0,30,5645,293956.7,67.66,18,6.45
9,1,1785921067729,sobol_9_1,v1,0.0451,0.9012,0.4791,2.4776,0.1514,0.01298,0.1668,0.002836,0.684,1,18,40.02,0.982,1,0,13.0,13.0,1,30,5601,127574.3,100.0,13,10.93
9,2,1785921069510,sobol_9_2,v1,0.0451,0.9012,0.4791,2.4776,0.1514,0.01298,0.1512,0.001654,0.684,0,30,24.91,0.95,1,2631,21.733,13.092,0,30,6489,327012.9,90.61,18,6.26
9,3,1785921059026,sobol_9_3,v1,0.0451,0.9012,0.4791,2.4776,0.1514,0.01298,0.1018,0.003572,0.684,0,33,27.5,0.712,1,503,23.845,21.877,0,30,6470,302583.1,91.25,18,14.2
9,4,1785921061360,sobol_9_4,v1,0.0451,0.9012,0.4791,2.4776,0.1514,0.01298,0.0612,0.001543,0.684,1,18,52.65,0.426,1,3866,17.0,6.64,0,30,6536,381916.4,34.59,18,6.15
10,0,1785921063583,sobol_10_0,v1,0.0161,0.9012,0.4791,2.4776,0.1514,0.01298,0.1788,0.001692,0.684,0,10,38.92,0.396,1,1380,9.0,7.263,0,30,5645,344808.8,0.0,-1,6.41
10,1,1785921064677,sobol_10_1,v1,0.0161,0.9012,0.4791,2.4776,0.1514,0.01298,0.1668,0.002836,0.684,1,18,40.02,0.982,1,0,13.0,13.0,1,30,5601,127574.3,100.0,13,10.93
10,2,1785921066958,sobol_10_2,v1,0.0161,0.9012,0.4791,2.4776,0.1514,0.01298,0.1512,0.001654,0.684,0,30,24.91,0.95,1,0,0.0,0.0,0,30,6489,375964.2,0.0,-1,6.53
10,3,1785921069056,sobol_10_3,v1,0.0161,0.9012,0.4791,2.4776,0.1514,0.01298,0.1018,0.003572,0.684,0,33,27.5,0.712,1,0,0.0,0.0,0,30,6470,370894.3,0.0,-1,13.93
10,4,1785921071252,sobol_10_4,v1,0.0161,0.9012,0.4791,2.4776,0.1514,0.01298,0.0612,0.001543,0.684,1,18,52.65,0.426,1,3866,17.0,6.64,0,30,6536,411347.1,0.0,-1,6.29
11,0,1785921073146,sobol_11_0,v1,0.0451,0.3574,0.4791,2.4776,0.1514,0.01298,0.1788,0.001692,0.684,0,10,38.92,0.396,1,1380,9.0,7.263,0,30,5645,293956.7,67.66,18,6.45
11,1,1785921070057,sobol_11_1,v1,0.0451,0.3574,0.4791,2.4776,0.1514,0.01298,0.1668,0.002836,0.684,1,18,40.02,0.982,1,0,13.755,13.755,1,30,5601,132424.9,100.0,13,10.93
11,2,1785921071835,sobol_11_2,v1,0.0451,0.3574,0.4791,2.4776,0.1514,0.01298,0.1512,0.001654,0.684,0,30,24.91,0.95,1,2631,21.733,13.092,0,30,6489,327012.9,90.61,18,6.26
11,3,1785921073691,sobol_11_3,v1,0.0451,0.3574,0.4791,2.4776,0.1514,0.01298,0.1018,0.003572,0.684,0,33,27.5,0.712,1,503,23.845,21.877,0,30,6470,302583.1,91.25,18,14.2
11,4,1785921075801,sobol_11_4,v1,0.0451,0.3574,0.4791,2.4776,0.1514,0.01298,0.0612,0.001543,0.684,1,18,52.65,0.426,1,3866,17.0,6.64,0,30,6536,381916.4,34.59,18,6.15
12,0,1785921077689,sobol_12_0,v1,0.0451,0.9012,0.1686,2.4776,0.1514,0.01298,0.1788,0.001692,0.684,0,10,38.92,0.396,1,1380,9.0,7.263,0,30,5645,308554.3,57.3,19,6.24
12,1,1785921078866,sobol_12_1,v1,0.0451,0.9012,0.1686,2.4776,0.1514,0.01298,0.1668,0.002836,0.684,1,18,40.02,0.982,1,0,13.0,13.0,1,30,5601,127574.3,100.0,13,10.93
12,2,1785921081129,sobol_12_2,v1,0.0451,0.9012,0.1686,2.4776,0.1514,0.01298,0.1512,0.001654,0.684,0,30,24.91,0.95,1,1890,15.152,8.907,0,30,6489,347403.8,62.83,18,6.53
12,3,1785921082959,sobol_12_3,v1,0.0451,0.9012,0.1686,2.4776,0.1514,0.01298,0.1018,0.003572,0.684,0,33,27.5,0.712,1,1148,17.601,13.247,0,30,6470,329424.9,72.47,19,14.31
12,4,1785921070914,sobol_12_4,v1,0.0451,0.9012,0.1686,2.4776,0.1514,0.01298,0.0612,0.001543,0.684,1,18,52.65,0.426,1,3866,17.0,6.64,0,30,6536,389258.3,30.97,19,6.12
13,0,1785921072909,sobol_13_0,v1,0.0451,0.9012,0.4791,1.347,0.1514,0.01298,0.1788,0.001692,0.684,0,10,38.92,0.396,1,1380,9.0,7.263,0,30,5645,286742.6,71.11,17,6.91
13,1,1785921073979,sobol_13_1,v1,0.0451,0.9012,0.4791,1.347,0.1514,0.01298,0.1668,0.002836,0.684,1,18,40.02,0.982,1,0,13.0,13.0,1,30,5601,127574.3,100.0,13,10.93
13,2,1785921075704,sobol_13_2,v1,0.0451,0.9012,0.4791,1.347,0.1514,0.01298,0.1512,0.001654,0.684,0,30,24.91,0.95,1,2056,21.163,14.595,0,30,6489,311144.3,86.46,17,6.63
13,3,1785921077637,sobol_13_3,v1,0.0451,0.9012,0.4791,1.347,0.1514,0.01298,0.1018,0.003572,0.684,0,33,27.5,0.712,1,942,23.136,19.785,0,30,6470,294576.8,96.48,18,14.42
13,4,1785921079810,sobol_13_4,v1,0.0451,0.9012,0.4791,1.347,0.1514,0.01298,0.0612,0.001543,0.684,1,18,52.65,0.426,1,2777,17.0,9.558,0,30,6536,359335.4,50.26,17,6.23
14,0,1785921081795,sobol_14_0,v1,0.0451,0.9012,0.4791,2.4776,0.4792,0.01298,0.1788,0.001692,0.684,0,10,38.92,0.396,1,1380,9.0,7.263,0,30,5645,285972.5,67.66,18,6.57
14,1,1785921082656,sobol_14_1,v1,0.0451,0.9012,0.4791,2.4776,0.4792,0.01298,0.1668,0.002836,0.684,1,18,40.02,0.982,1,0,13.0,13.0,1,30,5601,127574.3,100.0,13,10.93
14,2,1785921070944,sobol_14_2,v1,0.0451,0.9012,0.4791,2.4776,0.4792,0.01298,0.1512,0.001654,0.684,0,30,24.91,0.95,1,1833,20.998,15.152,0,30,6489,306522.9,90.61,18,6.23
14,3,1785921072984,sobol_14_3,v1,0.0451,0.9012,0.4791,2.4776,0.4792,0.01298,0.1018,0.003572,0.684,0,33,27.5,0.712,1,647,23.233,20.94,0,30,6470,288096.9,91.25,18,14.1
14,4,1785921075253,sobol_14_4,v1,0.0451,0.9012,0.4791,2.4776,0.4792,0.01298,0.0612,0.001543,0.684,1,18,52.65,0.426,1,3866,17.0,6.64,0,30,6536,379619.2,34.59,18,6.14
15,0,1785921077024,sobol_15_0,v1,0.0451,0.9012,0.4791,2.4776,0.1514,0.00899,0.1788,0.001692,0.684,0,10,38.92,0.396,1,1380,9.0,7.263,0,30,5645,306393.7,61.51,19,6.08
15,1,1785921078017,sobol_15_1,v1,0.0451,0.9012,0.4791,2.4776,0.1514,0.00899,0.1668,0.002836,0.684,1,18,40.02,0.982,1,0,13.0,13.0,1,30,5601,127574.3,100.0,13,10.93
15,2,1785921080099,sobol_15_2,v1,0.0451,0.9012,0.4791,2.4776,0.1514,0.00899,0.1512,0.001654,0.684,0,30,24.91,0.95,1,2085,17.0,10.091,0,30,6489,344381.6,69.86,18,6.36
15,3,1785921082258,sobol_15_3,v1,0.0451,0.9012,0.4791,2.4776,0.1514,0.00899,0.1018,0.003572,0.684,0,33,27.5,0.712,1,1083,20.422,16.276,0,30,6470,321584.8,83.34,19,14.19
15,4,1785921084552,sobol_15_4,v1,0.0451,0.9012,0.4791,2.4776,0.1514,0.00899,0.0612,0.001543,0.684,1,18,52.65,0.426,1,3866,17.0,6.64,0,30,6536,388121.9,32.55,19,6.17
16,0,1785921070910,sobol_16_0,v1,0.0451,0.9012,0.4791,2.4776,0.1514,0.01298,0.1788,0.001692,0.697,0,10,38.92,0.396,1,1380,9.0,7.263,0,30,5645,302983.9,63.33,19,6.48
16,1,1785921072160,sobol_16_1,v1,0.0451,0.9012,0.4791,2.4776,0.1514,0.01298,0.1668,0.002836,0.697,1,18,40.02,0.982,1,0,13.0,13.0,1,30,5601,127574.3,100.0,13,10.93
16,2,1785921074344,sobol_16_2,v1,0.0451,0.9012,0.4791,2.4776,0.1514,0.01298,0.1512,0.001654,0.697,0,30,24.91,0.95,1,1702,17.799,12.172,0,30,6489,336105.5,72.68,18,6.38
16,3,1785921076013,sobol_16_3,v1,0.0451,0.9012,0.4791,2.4776,0.1514,0.01298,0.1018,0.003572,0.697,0,33,27.5,0.712,1,1030,21.217,17.316,0,30,6470,317949.4,85.55,19,13.96
16,4,1785921078149,sobol_16_4,v1,0.0451,0.9012,0.4791,2.4776,0.1514,0.01298,0.0612,0.001543,0.697,1,18,52.65,0.426,1,3866,17.0,6.64,0,30,6536,385801.2,33.53,19,6.35
17,0,1785921080221,sobol_17_0,v1,0.0161,0.3574,0.1686,1.347,0.4792,0.00899,0.1788,0.001692,0.697,0,10,38.92,0.396,1,1380,9.0,7.263,0,30,5645,344808.8,0.0,-1,6.41
17,1,1785921081840,sobol_17_1,v1,0.0161,0.3574,0.1686,1.347,0.4792,0.00899,0.1668,0.002836,0.697,1,18,40.02,0.982,1,0,15.747,15.747,1,30,5601,143546.9,100.0,15,11.21
17,2,1785921084138,sobol_17_2,v1,0.0161,0.3574,0.1686,1.347,0.4792,0.00899,0.1512,0.001654,0.697,0,30,24.91,0.95,1,0,0.0,0.0,0,30,6489,375964.2,0.0,-1,6.53
17,3,1785921071583,sobol_17_3,v1,0.0161,0.3574,0.1686,1.347,0.4792,0.00899,0.1018,0.003572,0.697,0,33,27.5,0.712,1,0,0.0,0.0,0,30,6470,370894.3,0.0,-1,13.93
17,4,1785921074057,sobol_17_4,v1,0.0161,0.3574,0.1686,1.347,0.4792,0.00899,0.0612,0.001543,0.697,1,18,52.65,0.426,1,3866,17.0,6.64,0,30,6536,411347.1,0.0,-1,6.29
18,0,1785921075620,sobol_18_0,v1,0.0626,0.3012,0.1791,1.2026,0.3764,0.00573,0.1788,0.001692,0.649,0,10,38.92,0.396,1,1380,9.0,7.263,0,30,5645,276937.6,72.98,17,6.64
18,1,1785921076849,sobol_18_1,v1,0.0626,0.3012,0.1791,1.2026,0.3764,0.00573,0.1668,0.002836,0.649,1,18,40.02,0.982,1,0,13.471,13.471,1,30,5601,130533.6,100.0,13,10.93
18,2,1785921078711,sobol_18_2,v1,0.0626,0.3012,0.1791,1.2026,0.3764,0.00573,0.1512,0.001654,0.649,0,30,24.91,0.95,1,2239,20.172,13.359,0,30,6489,298588.4,86.19,16,6.21
18,3,1785921080514,sobol_18_3,v1,0.0626,0.3012,0.1791,1.2026,0.3764,0.00573,0.1018,0.003572,0.649,0,33,27.5,0.712,1,471,21.994,20.406,0,30,6470,274761.9,98.67,17,13.69
18,4,1785921082412,sobol_18_4,v1,0.0626,0.3012,0.1791,1.2026,0.3764,0.00573,0.0612,0.001543,0.649,1,18,52.65,0.426,1,73,16.989,16.795,0,30,6536,292587.6,97.6,17,6.23
