row_index,replicate_id,timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
0,0,1786271681861,sobol_0_0,v1,0.0101,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.685,0,14,28.64,0.814,1,3147,13.0,6.686,1,30,5645,154856.4,100.0,17,62.41
0,1,1786271684034,sobol_0_1,v1,0.0101,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.685,1,14,98.5,0.814,1,5338,13.0,0.0,0,30,5601,322334.6,0.0,-1,13.02
0,2,1786271686405,sobol_0_2,v1,0.0101,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.685,0,14,36.98,0.814,1,2827,13.0,8.061,0,30,6489,379324.5,0.0,-1,8.72
0,3,1786271688826,sobol_0_3,v1,0.0101,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.685,0,14,50.6,0.814,1,2923,13.0,7.781,0,30,6470,364803.4,0.0,-1,14.68
0,4,1786271690326,sobol_0_4,v1,0.0101,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.685,1,14,93.52,0.814,1,6158,13.0,0.513,1,30,6536,188791.0,100.0,27,96.97
1,0,1786271691460,sobol_1_0,v1,0.0324,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.685,0,14,28.64,0.814,1,2961,13.0,7.06,1,30,5645,147992.9,100.0,14,58.05
1,1,1786271693885,sobol_1_1,v1,0.0324,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.685,1,14,98.5,0.814,1,5338,13.0,0.0,0,30,5601,322334.6,0.0,-1,13.02
1,2,1786271696037,sobol_1_2,v1,0.0324,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.685,0,14,36.98,0.814,1,2827,13.0,8.061,0,30,6489,319805.9,45.94,18,8.54
1,3,1786271682664,sobol_1_3,v1,0.0324,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.685,0,14,50.6,0.814,1,2923,13.0,7.781,0,30,6470,334563.6,38.63,19,14.45
1,4,1786271684337,sobol_1_4,v1,0.0324,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.685,1,14,93.52,0.814,1,6003,13.0,0.827,1,30,6536,187460.0,100.0,27,94.25
2,0,1786271685886,sobol_2_0,v1,0.0101,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.685,0,27,28.64,0.814,1,0,17.621,17.621,1,30,5645,150078.6,100.0,16,12.88
2,1,1786271687439,sobol_2_1,v1,0.0101,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.685,1,27,98.5,0.814,1,0,11.752,11.752,0,30,5601,245572.9,53.44,18,13.18
2,2,1786271689825,sobol_2_2,v1,0.0101,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.685,0,27,36.98,0.814,1,0,0.0,0.0,0,30,6489,379231.3,0.0,-1,8.77
2,3,1786271691929,sobol_2_3,v1,0.0101,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.685,0,27,50.6,0.814,1,0,0.0,0.0,0,30,6470,365142.1,0.0,-1,14.65
2,4,1786271693975,sobol_2_4,v1,0.0101,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.685,1,27,93.52,0.814,1,0,18.373,18.373,1,30,6536,178554.2,100.0,17,25.02
3,0,1786271695244,sobol_3_0,v1,0.0101,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.685,0,14,28.64,0.949,1,3667,13.0,5.643,1,30,5645,155661.2,100.0,17,71.36
3,1,1786271682500,sobol_3_1,v1,0.0101,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.685,1,14,98.5,0.949,1,5338,13.0,0.0,0,30,5601,322334.6,0.0,-1,13.02
3,2,1786271685069,sobol_3_2,v1,0.0101,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.685,0,14,36.98,0.949,1,3295,13.0,7.243,0,30,6489,379347.2,0.0,-1,8.72
3,3,1786271687616,sobol_3_3,v1,0.0101,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.685,0,14,50.6,0.949,1,3407,13.0,6.917,0,30,6470,364928.6,0.0,-1,14.73
3,4,1786271689031,sobol_3_4,v1,0.0101,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.685,1,14,93.52,0.949,1,6411,13.0,0.0,1,30,6536,189217.0,0.0,-1,100.0
4,0,1786271690366,sobol_4_0,v1,0.0101,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.639,0,14,28.64,0.814,1,3147,13.0,6.686,1,30,5645,150980.8,100.0,15,61.01
4,1,1786271692099,sobol_4_1,v1,0.0101,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.639,1,14,98.5,0.814,1,5338,13.0,0.0,0,30,5601,322334.6,0.0,-1,13.02
4,2,1786271694549,sobol_4_2,v1,0.0101,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.639,0,14,36.98,0.814,1,2827,13.0,8.061,0,30,6489,306940.0,41.51,18,8.92
4,3,1786271696861,sobol_4_3,v1,0.0101,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.639,0,14,50.6,0.814,1,2923,13.0,7.781,0,30,6470,364803.4,0.0,-1,14.68
4,4,1786271681990,sobol_4_4,v1,0.0101,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.639,1,14,93.52,0.814,1,6158,13.0,0.513,1,30,6536,188518.3,100.0,27,96.47
5,0,1786271683357,sobol_5_0,v1,0.0324,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.639,0,27,28.64,0.949,1,0,14.49,14.49,1,30,5645,133372.7,100.0,13,8.54
5,1,1786271684548,sobol_5_1,v1,0.0324,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.639,1,27,98.5,0.949,1,0,16.646,16.646,0,30,5601,156843.2,89.36,15,13.23
5,2,1786271686350,sobol_5_2,v1,0.0324,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.639,0,27,36.98,0.949,1,0,17.717,17.717,0,30,6489,197100.7,85.21,16,8.66
5,3,1786271688205,sobol_5_3,v1,0.0324,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.639,0,27,50.6,0.949,1,0,19.026,19.026,0,30,6470,253684.3,86.35,17,14.33
5,4,1786271689364,sobol_5_4,v1,0.0324,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.639,1,27,93.52,0.949,1,0,14.55,14.55,1,30,6536,156769.7,100.0,13,5.6
6,0,1786271690671,sobol_6_0,v1,0.0451,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.615,0,30,28.64,0.464,1,0,14.382,14.382,1,30,5645,129457.8,100.0,13,8.29
6,1,1786271691663,sobol_6_1,v1,0.0451,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.615,1,30,98.5,0.464,1,0,16.28,16.28,0,30,5601,146795.7,93.37,14,13.18
6,2,1786271682009,sobol_6_2,v1,0.0451,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.615,0,30,36.98,0.464,1,0,17.217,17.217,0,30,6489,180666.5,96.25,15,8.58
6,3,1786271683815,sobol_6_3,v1,0.0451,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.615,0,30,50.6,0.464,1,0,17.991,17.991,0,30,6470,203786.6,95.01,15,14.81
6,4,1786271685136,sobol_6_4,v1,0.0451,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.615,1,30,93.52,0.464,1,0,14.828,14.828,1,30,6536,155055.8,100.0,13,5.46
7,0,1786271686410,sobol_7_0,v1,0.0674,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.615,0,30,28.64,0.464,1,0,12.842,12.842,1,30,5645,111215.9,100.0,7,8.54
7,1,1786271687814,sobol_7_1,v1,0.0674,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.615,1,30,98.5,0.464,1,0,16.258,16.258,0,30,5601,146420.8,97.88,14,13.39
7,2,1786271689078,sobol_7_2,v1,0.0674,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.615,0,30,36.98,0.464,1,0,17.011,17.011,0,30,6489,177692.4,95.74,14,8.69
7,3,1786271690811,sobol_7_3,v1,0.0674,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.615,0,30,50.6,0.464,1,0,17.394,17.394,0,30,6470,201044.4,90.42,15,14.71
7,4,1786271691759,sobol_7_4,v1,0.0674,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.615,1,30,93.52,0.464,1,0,12.21,12.21,1,30,6536,121983.5,100.0,7,5.23
8,0,1786271681835,sobol_8_0,v1,0.0451,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.615,0,11,28.64,0.464,1,1311,10.0,8.1,1,30,5645,136387.2,100.0,13,30.17
8,1,1786271683644,sobol_8_1,v1,0.0451,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.615,1,11,98.5,0.464,1,2826,10.0,4.755,0,30,5601,238802.5,44.37,14,12.93
8,2,1786271685486,sobol_8_2,v1,0.0451,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.615,0,11,36.98,0.464,1,1974,10.0,7.509,0,30,6489,243300.9,66.3,15,8.49
8,3,1786271687546,sobol_8_3,v1,0.0451,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.615,0,11,50.6,0.464,1,2150,10.0,7.242,0,30,6470,271978.4,62.08,16,14.61
8,4,1786271688937,sobol_8_4,v1,0.0451,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.615,1,11,93.52,0.464,1,3976,10.0,3.818,1,30,6536,174773.0,100.0,13,64.06
9,0,1786271690125,sobol_9_0,v1,0.0451,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.615,0,30,28.64,0.599,1,0,14.382,14.382,1,30,5645,129457.8,100.0,13,8.29
9,1,1786271691352,sobol_9_1,v1,0.0451,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.615,1,30,98.5,0.599,1,0,16.28,16.28,0,30,5601,146795.7,93.37,14,13.18
9,2,1786271692771,sobol_9_2,v1,0.0451,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.615,0,30,36.98,0.599,1,0,17.217,17.217,0,30,6489,180666.5,96.25,15,8.58
9,3,1786271682073,sobol_9_3,v1,0.0451,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.615,0,30,50.6,0.599,1,0,17.991,17.991,0,30,6470,203786.6,95.01,15,14.81
9,4,1786271683753,sobol_9_4,v1,0.0451,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.615,1,30,93.52,0.599,1,0,14.828,14.828,1,30,6536,155055.8,100.0,13,5.46
10,0,1786271684846,sobol_10_0,v1,0.0451,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.709,0,30,28.64,0.464,1,0,15.271,15.271,1,30,5645,135259.6,100.0,14,8.29
10,1,1786271686365,sobol_10_1,v1,0.0451,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.709,1,30,98.5,0.464,1,0,18.613,18.613,0,30,5601,178956.8,91.68,16,13.18
10,2,1786271688389,sobol_10_2,v1,0.0451,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.709,0,30,36.98,0.464,1,0,20.935,20.935,0,30,6489,280271.9,91.65,17,8.45
10,3,1786271689937,sobol_10_3,v1,0.0451,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.709,0,30,50.6,0.464,1,0,21.701,21.701,0,30,6470,288103.6,88.51,18,14.84
10,4,1786271691336,sobol_10_4,v1,0.0451,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.709,1,30,93.52,0.464,1,0,15.715,15.715,1,30,6536,161524.0,100.0,14,5.66
11,0,1786271692516,sobol_11_0,v1,0.0674,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.709,0,11,28.64,0.599,1,1692,10.0,7.548,1,30,5645,141113.1,100.0,13,17.75
11,1,1786271693980,sobol_11_1,v1,0.0674,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.709,1,11,98.5,0.599,1,3646,10.0,3.233,0,30,5601,285036.2,30.98,16,13.18
11,2,1786271696118,sobol_11_2,v1,0.0674,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.709,0,11,36.98,0.599,1,2547,10.0,6.786,0,30,6489,313488.8,54.96,16,8.51
11,3,1786271698177,sobol_11_3,v1,0.0674,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.709,0,11,50.6,0.599,1,2774,10.0,6.442,0,30,6470,316296.1,46.07,17,14.53
11,4,1786271699485,sobol_11_4,v1,0.0674,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.709,1,11,93.52,0.599,1,5130,10.0,2.024,1,30,6536,181416.7,100.0,14,60.4
12,0,1786271700919,sobol_12_0,v1,0.0626,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.72,0,6,28.64,0.989,1,3169,5.0,3.297,1,30,5645,148316.2,100.0,14,59.1
12,1,1786271702838,sobol_12_1,v1,0.0626,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.72,1,6,98.5,0.989,1,5483,5.0,0.0,0,30,5601,323156.2,0.0,-1,12.85
12,2,1786271705146,sobol_12_2,v1,0.0626,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.72,0,6,36.98,0.989,1,5027,5.0,2.649,0,30,6489,357290.6,18.73,-1,8.8
12,3,1786271707001,sobol_12_3,v1,0.0626,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.72,0,6,50.6,0.989,1,3921,5.0,3.146,0,30,6470,333662.4,34.32,18,14.68
12,4,1786271693736,sobol_12_4,v1,0.0626,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.72,1,6,93.52,0.989,1,6475,5.0,0.0,1,30,6536,188947.3,100.0,25,100.0
13,0,1786271694895,sobol_13_0,v1,0.0499,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.72,0,6,28.64,0.989,1,3169,5.0,3.297,1,30,5645,148339.2,100.0,14,60.41
13,1,1786271696975,sobol_13_1,v1,0.0499,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.72,1,6,98.5,0.989,1,5483,5.0,0.0,0,30,5601,323156.2,0.0,-1,12.85
13,2,1786271699177,sobol_13_2,v1,0.0499,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.72,0,6,36.98,0.989,1,5027,5.0,2.649,0,30,6489,359322.2,19.97,-1,8.68
