row_index,replicate_id,timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
0,0,1786057633471,sobol_0_0,v1,0.032,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.58,0,21,67.94,0.302,1,0,13.0,13.0,1,30,5645,129539.4,100.0,13,8.43
0,1,1786057634535,sobol_0_1,v1,0.032,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.58,1,29,42.1,0.958,1,872,13.768,11.428,0,30,5601,135098.2,85.67,10,13.3
0,2,1786057635690,sobol_0_2,v1,0.032,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.58,0,33,49.87,0.667,1,0,12.575,12.575,1,30,6489,119917.4,100.0,8,8.74
0,3,1786057636792,sobol_0_3,v1,0.032,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.58,0,19,95.71,0.975,1,0,12.573,12.573,1,30,6470,138319.7,100.0,13,14.4
0,4,1786057640104,sobol_0_4,v1,0.032,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.58,1,17,59.46,0.802,1,6378,16.0,0.0,0,30,6536,423767.5,0.0,-1,5.52
1,0,1786057641986,sobol_1_0,v1,0.032,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.683,0,21,67.94,0.302,1,0,13.997,13.997,1,30,5645,136020.2,100.0,14,8.7
1,1,1786057643992,sobol_1_1,v1,0.032,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.683,1,29,42.1,0.958,1,871,18.465,15.32,0,30,5601,192291.9,86.23,16,13.09
1,2,1786057645097,sobol_1_2,v1,0.032,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.683,0,33,49.87,0.667,1,0,14.822,14.822,1,30,6489,147525.9,100.0,13,8.75
1,3,1786057633568,sobol_1_3,v1,0.032,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.683,0,19,95.71,0.975,1,0,13.0,13.0,1,30,6470,144044.9,100.0,13,14.64
1,4,1786057635760,sobol_1_4,v1,0.032,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.683,1,17,59.46,0.802,1,6378,16.0,0.0,0,30,6536,423767.5,0.0,-1,5.52
2,0,1786057636678,sobol_2_0,v1,0.0623,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.58,0,21,67.94,0.302,1,0,10.454,10.454,1,30,5645,98534.3,100.0,5,8.73
2,1,1786057637801,sobol_2_1,v1,0.0623,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.58,1,29,42.1,0.958,1,897,13.582,11.224,0,30,5601,133180.5,86.19,9,12.75
2,2,1786057640054,sobol_2_2,v1,0.0623,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.58,0,33,49.87,0.667,1,0,10.759,10.759,1,30,6489,95880.3,100.0,5,8.43
2,3,1786057641922,sobol_2_3,v1,0.0623,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.58,0,19,95.71,0.975,1,0,10.785,10.785,1,30,6470,113188.1,100.0,5,14.81
2,4,1786057644146,sobol_2_4,v1,0.0623,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.58,1,17,59.46,0.802,1,212,15.945,15.425,0,30,6536,213983.1,96.57,16,5.08
3,0,1786057645017,sobol_3_0,v1,0.0623,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.58,0,21,67.94,0.302,1,0,10.454,10.454,1,30,5645,98534.3,100.0,5,8.73
3,1,1786057633575,sobol_3_1,v1,0.0623,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.58,1,29,42.1,0.958,1,897,13.582,11.224,0,30,5601,133180.5,86.19,9,12.75
3,2,1786057634624,sobol_3_2,v1,0.0623,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.58,0,33,49.87,0.667,1,0,10.759,10.759,1,30,6489,95880.3,100.0,5,8.43
3,3,1786057635792,sobol_3_3,v1,0.0623,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.58,0,19,95.71,0.975,1,0,10.785,10.785,1,30,6470,113188.1,100.0,5,14.81
3,4,1786057637094,sobol_3_4,v1,0.0623,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.58,1,17,59.46,0.802,1,212,15.945,15.425,0,30,6536,213983.1,96.57,16,5.08
4,0,1786057638370,sobol_4_0,v1,0.032,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.683,0,21,67.94,0.302,1,0,13.997,13.997,1,30,5645,136020.2,100.0,14,8.7
4,1,1786057641330,sobol_4_1,v1,0.032,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.683,1,29,42.1,0.958,1,871,18.465,15.32,0,30,5601,192291.9,86.23,16,13.09
4,2,1786057643173,sobol_4_2,v1,0.032,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.683,0,33,49.87,0.667,1,0,14.822,14.822,1,30,6489,147525.9,100.0,13,8.75
4,3,1786057644610,sobol_4_3,v1,0.032,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.683,0,19,95.71,0.975,1,0,13.0,13.0,1,30,6470,144044.9,100.0,13,14.64
4,4,1786057634570,sobol_4_4,v1,0.032,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.683,1,17,59.46,0.802,1,6378,16.0,0.0,0,30,6536,423767.5,0.0,-1,5.52
5,0,1786057635644,sobol_5_0,v1,0.0623,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.683,0,21,67.94,0.302,1,0,13.632,13.632,1,30,5645,133637.5,100.0,13,8.43
5,1,1786057636816,sobol_5_1,v1,0.0623,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.683,1,29,42.1,0.958,1,879,17.465,14.465,0,30,5601,185644.3,89.59,15,13.6
5,2,1786057638094,sobol_5_2,v1,0.0623,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.683,0,33,49.87,0.667,1,0,14.368,14.368,1,30,6489,144195.9,100.0,13,8.75
5,3,1786057640490,sobol_5_3,v1,0.0623,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.683,0,19,95.71,0.975,1,0,13.0,13.0,1,30,6470,144044.9,100.0,13,14.64
5,4,1786057644036,sobol_5_4,v1,0.0623,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.683,1,17,59.46,0.802,1,6378,16.0,0.0,0,30,6536,423767.5,0.0,-1,5.52
6,0,1786057645067,sobol_6_0,v1,0.067,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.65,0,21,67.94,0.302,1,0,13.0,13.0,1,30,5645,129539.4,100.0,13,8.43
6,1,1786057646096,sobol_6_1,v1,0.067,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.65,1,29,42.1,0.958,1,867,16.784,13.937,0,30,5601,173229.6,94.72,14,13.41
