row_index,replicate_id,timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
0,0,1785834320406,sobol_0_0,v1,0.0101,0.3525,0.3577,1.3333,0.6738,0.00986,0.1708,0.001556,0.638,0,21,67.94,0.302,1,0,13.891,13.891,1,30,5645,135825.3,100.0,14,5.95
0,1,1785834322382,sobol_0_1,v1,0.0101,0.7087,0.3337,1.3333,0.3914,0.01026,0.2035,0.003707,0.704,1,29,42.1,0.958,1,0,0.0,0.0,0,30,5601,329950.7,0.0,-1,13.84
0,2,1785834323512,sobol_0_2,v1,0.0101,0.3406,0.3024,1.3333,0.8987,0.00478,0.1513,0.003586,0.638,0,33,49.87,0.667,1,0,16.145,16.145,1,30,6489,154152.2,100.0,14,13.95
0,3,1785834324842,sobol_0_3,v1,0.0101,0.938,0.2037,1.3333,0.6167,0.00572,0.2352,0.002714,0.72,0,19,95.71,0.975,1,0,14.0,14.0,1,30,6470,152818.4,100.0,14,10.39
0,4,1785834326921,sobol_0_4,v1,0.0101,0.306,0.1223,1.3333,0.8038,0.01483,0.0808,0.001666,0.587,1,17,59.46,0.802,1,6339,16.0,0.0,0,30,6536,424781.5,0.0,-1,6.7
1,0,1785834327908,sobol_1_0,v1,0.0614,0.3525,0.3577,1.3333,0.6738,0.00986,0.1708,0.001556,0.638,0,21,67.94,0.302,1,0,11.44,11.44,1,30,5645,111246.3,100.0,9,5.54
1,1,1785834329338,sobol_1_1,v1,0.0614,0.7087,0.3337,1.3333,0.3914,0.01026,0.2035,0.003707,0.704,1,29,42.1,0.958,1,3003,20.77,8.093,0,30,5601,287498.9,98.26,18,14.23
1,2,1785834330466,sobol_1_2,v1,0.0614,0.3406,0.3024,1.3333,0.8987,0.00478,0.1513,0.003586,0.638,0,33,49.87,0.667,1,0,12.373,12.373,1,30,6489,116059.1,100.0,8,13.25
1,3,1785834320627,sobol_1_3,v1,0.0614,0.938,0.2037,1.3333,0.6167,0.00572,0.2352,0.002714,0.72,0,19,95.71,0.975,1,0,13.0,13.0,1,30,6470,145475.8,100.0,13,10.39
1,4,1785834322300,sobol_1_4,v1,0.0614,0.306,0.1223,1.3333,0.8038,0.01483,0.0808,0.001666,0.587,1,17,59.46,0.802,1,1208,15.066,12.208,0,30,6536,232924.4,93.38,15,6.61
2,0,1785834323250,sobol_2_0,v1,0.0101,0.3525,0.3577,2.0696,0.6738,0.00986,0.1708,0.001556,0.638,0,21,67.94,0.302,1,0,14.738,14.738,1,30,5645,140884.2,100.0,14,5.88
2,1,1785834325160,sobol_2_1,v1,0.0101,0.7087,0.3337,2.0696,0.3914,0.01026,0.2035,0.003707,0.704,1,29,42.1,0.958,1,0,0.0,0.0,0,30,5601,329950.7,0.0,-1,13.84
2,2,1785834326144,sobol_2_2,v1,0.0101,0.3406,0.3024,2.0696,0.8987,0.00478,0.1513,0.003586,0.638,0,33,49.87,0.667,1,0,17.0,17.0,1,30,6489,159044.0,100.0,15,16.17
2,3,1785834327525,sobol_2_3,v1,0.0101,0.938,0.2037,2.0696,0.6167,0.00572,0.2352,0.002714,0.72,0,19,95.71,0.975,1,0,14.943,14.943,1,30,6470,159069.4,100.0,15,10.39
2,4,1785834329661,sobol_2_4,v1,0.0101,0.306,0.1223,2.0696,0.8038,0.01483,0.0808,0.001666,0.587,1,17,59.46,0.802,1,6339,16.0,0.0,0,30,6536,424781.5,0.0,-1,6.7
3,0,1785834330707,sobol_3_0,v1,0.0101,0.3525,0.3577,2.0696,0.6738,0.00986,0.1708,0.001556,0.638,0,21,67.94,0.302,1,0,14.738,14.738,1,30,5645,140884.2,100.0,14,5.88
3,1,1785834321226,sobol_3_1,v1,0.0101,0.7087,0.3337,2.0696,0.3914,0.01026,0.2035,0.003707,0.704,1,29,42.1,0.958,1,0,0.0,0.0,0,30,5601,329950.7,0.0,-1,13.84
3,2,1785834322664,sobol_3_2,v1,0.0101,0.3406,0.3024,2.0696,0.8987,0.00478,0.1513,0.003586,0.638,0,33,49.87,0.667,1,0,17.0,17.0,1,30,6489,159044.0,100.0,15,16.17
3,3,1785834323902,sobol_3_3,v1,0.0101,0.938,0.2037,2.0696,0.6167,0.00572,0.2352,0.002714,0.72,0,19,95.71,0.975,1,0,14.943,14.943,1,30,6470,159069.4,100.0,15,10.39
3,4,1785834325893,sobol_3_4,v1,0.0101,0.306,0.1223,2.0696,0.8038,0.01483,0.0808,0.001666,0.587,1,17,59.46,0.802,1,6339,16.0,0.0,0,30,6536,424781.5,0.0,-1,6.7
4,0,1785834327052,sobol_4_0,v1,0.0614,0.3525,0.3577,1.3333,0.6738,0.00986,0.1708,0.001556,0.638,0,21,67.94,0.302,1,0,11.44,11.44,1,30,5645,111246.3,100.0,9,5.54
