row_index,replicate_id,timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
0,0,1786306785377,sobol_0_0,v1,0.0104,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.621,0,19,28.64,0.774,1,0,14.317,14.317,1,30,5645,138327.7,100.0,14,8.45
0,1,1786306786256,sobol_0_1,v1,0.0104,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.621,1,19,98.5,0.774,1,0,15.282,15.282,0,30,5601,156679.0,84.6,14,13.12
0,2,1786306787908,sobol_0_2,v1,0.0104,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.621,0,19,36.98,0.774,1,0,17.244,17.244,0,30,6489,204407.3,88.3,17,8.88
0,3,1786306789732,sobol_0_3,v1,0.0104,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.621,0,19,50.6,0.774,1,3275,18.0,9.312,0,30,6470,339758.0,21.09,19,14.67
0,4,1786306791067,sobol_0_4,v1,0.0104,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.621,1,19,93.52,0.774,1,0,15.544,15.544,1,30,6536,171072.0,100.0,15,5.49
1,0,1786306792415,sobol_1_0,v1,0.0646,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.621,0,19,28.64,0.774,1,0,12.985,12.985,1,30,5645,129696.8,100.0,13,8.26
1,1,1786306793727,sobol_1_1,v1,0.0646,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.621,1,19,98.5,0.774,1,0,14.527,14.527,0,30,5601,147610.4,99.51,14,13.64
1,2,1786306795722,sobol_1_2,v1,0.0646,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.621,0,19,36.98,0.774,1,0,15.29,15.29,0,30,6489,179749.3,98.05,15,8.29
1,3,1786306785696,sobol_1_3,v1,0.0646,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.621,0,19,50.6,0.774,1,0,15.785,15.785,0,30,6470,216646.0,89.48,15,14.34
1,4,1786306786843,sobol_1_4,v1,0.0646,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.621,1,19,93.52,0.774,1,0,13.0,13.0,1,30,6536,152907.8,100.0,13,5.49
