row_index,replicate_id,timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
0,0,1785917635102,sobol_0_0,v1,0.0104,0.5984,0.3711,1.3014,0.8014,0.00612,0.1788,0.001692,0.631,0,10,38.92,0.396,1,1380,9.0,7.263,0,30,5645,344819.2,0.0,-1,6.41
0,1,1785917636358,sobol_0_1,v1,0.0104,0.5984,0.3711,1.3014,0.8014,0.00612,0.1668,0.002836,0.631,1,18,40.02,0.982,1,0,13.0,13.0,1,30,5601,127945.6,100.0,13,10.93
0,2,1785917638553,sobol_0_2,v1,0.0104,0.5984,0.3711,1.3014,0.8014,0.00612,0.1512,0.001654,0.631,0,30,24.91,0.95,1,0,0.0,0.0,0,30,6489,375964.2,0.0,-1,6.53
0,3,1785917640730,sobol_0_3,v1,0.0104,0.5984,0.3711,1.3014,0.8014,0.00612,0.1018,0.003572,0.631,0,33,27.5,0.712,1,0,0.0,0.0,0,30,6470,362971.2,0.0,-1,13.93
0,4,1785917642919,sobol_0_4,v1,0.0104,0.5984,0.3711,1.3014,0.8014,0.00612,0.0612,0.001543,0.631,1,18,52.65,0.426,1,3866,17.0,6.64,0,30,6536,413537.1,0.0,-1,6.29
1,0,1785917644521,sobol_1_0,v1,0.035,0.5984,0.3711,1.3014,0.8014,0.00612,0.1788,0.001692,0.631,0,10,38.92,0.396,1,1380,9.0,7.263,0,30,5645,230363.0,64.11,18,6.4
1,1,1785917645791,sobol_1_1,v1,0.035,0.5984,0.3711,1.3014,0.8014,0.00612,0.1668,0.002836,0.631,1,18,40.02,0.982,1,0,13.0,13.0,1,30,5601,127945.6,100.0,13,10.93
1,2,1785917647501,sobol_1_2,v1,0.035,0.5984,0.3711,1.3014,0.8014,0.00612,0.1512,0.001654,0.631,0,30,24.91,0.95,1,710,19.603,17.599,0,30,6489,225876.1,85.41,17,6.15
1,3,1785917634611,sobol_1_3,v1,0.035,0.5984,0.3711,1.3014,0.8014,0.00612,0.1018,0.003572,0.631,0,33,27.5,0.712,1,0,20.091,20.091,0,30,6470,208666.6,84.24,17,13.66
1,4,1785917636752,sobol_1_4,v1,0.035,0.5984,0.3711,1.3014,0.8014,0.00612,0.0612,0.001543,0.631,1,18,52.65,0.426,1,3851,17.0,6.68,0,30,6536,374724.6,34.61,18,6.24
2,0,1785917638757,sobol_2_0,v1,0.0104,0.4297,0.3711,1.3014,0.8014,0.00612,0.1788,0.001692,0.631,0,10,38.92,0.396,1,1380,9.0,7.263,0,30,5645,344819.2,0.0,-1,6.41
2,1,1785917639985,sobol_2_1,v1,0.0104,0.4297,0.3711,1.3014,0.8014,0.00612,0.1668,0.002836,0.631,1,18,40.02,0.982,1,0,13.788,13.788,1,30,5601,133021.0,100.0,13,10.93
