row_index,replicate_id,peak_mutiny,collapse_quarter
0.0,0,53.69199999999999,9.6
0.0,1,53.69199999999999,9.6
0.0,2,53.69199999999999,9.6
0.0,3,53.69199999999999,9.6
0.0,4,53.69199999999999,9.6
1.0,0,75.206,12.4
1.0,1,75.206,12.4
1.0,2,75.206,12.4
1.0,3,75.206,12.4
1.0,4,75.206,12.4
2.0,0,61.064,9.6
2.0,1,61.064,9.6
2.0,2,61.064,9.6
2.0,3,61.064,9.6
2.0,4,61.064,9.6
3.0,0,53.898,9.6
3.0,1,53.898,9.6
3.0,2,53.898,9.6
3.0,3,53.898,9.6
3.0,4,53.898,9.6
4.0,0,42.464,6.4
4.0,1,42.464,6.4
4.0,2,42.464,6.4
4.0,3,42.464,6.4
4.0,4,42.464,6.4
5.0,0,66.054,13.0
5.0,1,66.054,13.0
5.0,2,66.054,13.0
5.0,3,66.054,13.0
5.0,4,66.054,13.0
6.0,0,92.492,13.4
6.0,1,92.492,13.4
6.0,2,92.492,13.4
6.0,3,92.492,13.4
6.0,4,92.492,13.4
7.0,0,94.852,13.4
7.0,1,94.852,13.4
7.0,2,94.852,13.4
7.0,3,94.852,13.4
7.0,4,94.852,13.4
8.0,0,70.268,13.6
8.0,1,70.268,13.6
8.0,2,70.268,13.6
8.0,3,70.268,13.6
8.0,4,70.268,13.6
9.0,0,92.492,13.4
9.0,1,92.492,13.4
9.0,2,92.492,13.4
9.0,3,92.492,13.4
9.0,4,92.492,13.4
10.0,0,92.178,14.2
10.0,1,92.178,14.2
10.0,2,92.178,14.2
10.0,3,92.178,14.2
10.0,4,92.178,14.2
11.0,0,75.268,14.0
11.0,1,75.268,14.0
11.0,2,75.268,14.0
11.0,3,75.268,14.0
11.0,4,75.268,14.0
12.0,0,61.32000000000001,13.6
12.0,1,61.32000000000001,13.6
12.0,2,61.32000000000001,13.6
12.0,3,61.32000000000001,13.6
12.0,4,61.32000000000001,13.6
13.0,0,61.176,13.2
13.0,1,61.176,13.2
13.0,2,61.176,13.2
13.0,3,61.176,13.2
13.0,4,61.176,13.2
14.0,0,60.532,13.4
14.0,1,60.532,13.4
14.0,2,60.532,13.4
14.0,3,60.532,13.4
14.0,4,60.532,13.4
15.0,0,51.058,13.8
15.0,1,51.058,13.8
15.0,2,51.058,13.8
15.0,3,51.058,13.8
15.0,4,51.058,13.8
16.0,0,59.696000000000005,11.0
16.0,1,59.696000000000005,11.0
16.0,2,59.696000000000005,11.0
16.0,3,59.696000000000005,11.0
16.0,4,59.696000000000005,11.0
17.0,0,63.56600000000001,13.0
17.0,1,63.56600000000001,13.0
17.0,2,63.56600000000001,13.0
17.0,3,63.56600000000001,13.0
17.0,4,63.56600000000001,13.0
18.0,0,93.784,14.8
18.0,1,93.784,14.8
18.0,2,93.784,14.8
18.0,3,93.784,14.8
18.0,4,93.784,14.8
19.0,0,95.284,14.4
19.0,1,95.284,14.4
19.0,2,95.284,14.4
19.0,3,95.284,14.4
19.0,4,95.284,14.4
20.0,0,93.784,14.8
