Year,Drought_Index
1788,0.648
1789,0.454
1790,0.213
1791,4.057
1792,4.44
1793,1.608
1794,1.119
1795,2.369
1796,0.073
1797,0.0
1798,1.728
1799,4.044
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,4.828
1808,0.901
1809,1.309
1810,1.045
1811,0.0
1812,0.0
1813,1.042
1814,0.084
1815,0.0
1816,0.0
1817,1.953
1818,1.322
1819,0.117
1820,1.754
1821,0.607
1822,0.165
1823,0.0
1824,1.276
1825,0.0
1826,0.0
1827,1.189
1828,0.664
1829,0.44
1830,0.0
1831,0.0
1832,0.818
1833,6.773
1834,3.229
1835,0.606
1836,0.537
1837,0.993
1838,0.795
1839,2.401
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,1.149
1847,0.0
1848,0.0
1849,0.021
1850,0.779
1851,0.0
1852,0.159
1853,1.421
1854,0.239
1855,0.0
1856,0.683
1857,0.749
1858,1.287
1859,0.64
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.985
1866,0.0
1867,0.0
1868,1.179
