voyage_id,convict_count
"Neptune, Scarborough and Surprize | December 1789 [MULTI-SHIP]",1072
"Active, Albermarle, Atlantic, Barrington, Britannia, Mary Ann, Matilda, Salamander and William and Mary | January 1791 [MULTI-SHIP]",941
Anson | 23 September 1843,499
Pitt | June 1791,404
Moffatt | 07 November 1837,400
Tortoise | 28 September 1841,400
Moffatt | 04 January 1834,400
Glatton | September 1802,400
Moffatt | 05 May 1836,399
Moffatt | 10 August 1842,391
Fairlie | 14 October 1833,376
Dromedary | 11 September 1819,368
Barossa | 27 August 1841,350
Coromandel | 25 June 1838,350
Neptune | 04 October 1837,350
Ironside | 19 August 1862,348
Sir George Seymour | 04 November 1844,345
Royal Admiral | May 1792,345
Coromandel and Experiment | November 1803 [MULTI-SHIP],338
Barossa | 31 July 1839,336
Lady Raffles | 30 November 1840,331
Lord Lyndoch | 30 May 1833,330
Lord Lyndoch | 15 April 1836,330
Lord Lyndoch | 02 April 1838,330
Indefatigable and Minstrel | 09 May 1812 [MULTI-SHIP],328
Lord Lyndoch | 07 September 1840,322
Barossa | 09 May 1844,322
Clyde | 11 March 1863,322
John Barry | 07 September 1835,321
Lord William Bentinck | 11 April 1838,320
John Barry | 12 November 1838,320
Marquis of Huntly | 23 March 1835,320
John Barry | 02 April 1834,320
Rodney | 19 August 1850,316
Lady Palmyra | 04 March 1846,312
Mangles | 24 April 1835,310
Mangles | 18 March 1837,310
Nile | 27 June 1850,309
David Clarke | 03 June 1841,308
Barwell | September 1797,307
Blenheim | 23 March 1850,306
Corona | 13 October 1866,306
Mary Ann | 06 July 1835,306
Fairlie | 09 March 1852,306
Fortune and Alexander | January 1806 [MULTI-SHIP],306
Lincelles | 30 September 1861,306
Maitland | 19 March 1840,305
Sea Park | 30 December 1853,305
Neptune | 18 April 1849,304
Bangalore | 01 January 1850,302
Minden | 16 July 1851,302
Adelaide | 08 August 1849,302
Baring | December 1818,302
Admiral Gambier and Friends | April 1811 [MULTI-SHIP],301
Marion | 22 November 1843,301
Clara | 28 January 1864,301
York | 07 October 1862,301
Susan | 21 April 1842,300
Isabella | 11 July 1833,300
Susan | 07 March 1834,300
Susan | 29 July 1837,300
General Hewett | August 1813,300
Lady Castlereagh | December 1817,300
Royal Admiral | March 1800,300
Coromandel | 27 October 1819,300
Rodney | 19 September 1851,300
Cornwall | 28 February 1851,300
Aurora | 03 July 1833,300
Randolph | 24 April 1849,300
Marion | 07 June 1845,300
Aurora | 18 June 1835,300
Baring | April 1815,300
Pestonjee Bomanjee | 06 September 1845,300
Lady Kennaway | 02 June 1836,299
Marion | 27 September 1847,299
Maitland | 22 June 1846,299
Equestrian | 30 June 1845,299
Susan | 06 October 1835,298
Hillsborough | October 1798,297
"Nile, Canada and Minorca | June 1801 [MULTI-SHIP]",297
Pyrenees | 31 January 1853,296
Pyrenees | 14 March 1851,296
Cressy | 28 April 1843,296
Palmerston | 08 November 1860,296
Equestrian | 27 August 1852,293
Pestonjee Bomanjee | 16 April 1852,292
Earl Cornwallis | August 1800,292
Equestrian | 25 January 1844,291
Mangles | 21 November 1839,290
Calcutta | February 1803,290
Norwood | 13 March 1862,290
Earl Grey | 27 July 1838,290
Asia | 05 November 1835,290
Thomas Arbuthnot | 06 January 1847,290
Exmouth | 03 March 1831,290
Lady Nugent | 03 December 1834,286
Lady Nugent | 12 July 1836,286
Edwin Fox | 24 August 1858,282
Norfolk | 12 May 1835,282
Eden | 27 August 1836,281
Eden | 12 March 1842,281
Hougoumont | 10 October 1867,281
Marion | 30 October 1851,281
Lady Harewood | 24 March 1829,281
Lady Montagu | 31 July 1852,281
Recovery | 27 May 1837,280
Oriental Queen | 23 October 1852,280
Vimiera | 20 September 1865,280
Norfolk | 27 October 1836,280
Ramillies | 25 April 1854,280
Recovery | 26 October 1835,280
Aboukir | 24 December 1851,280
Asia | 20 July 1837,280
Norfolk | 04 July 1834,279
Larkins | 11 June 1831,279
Racehorse | 19 May 1865,279
Gilmore | 03 October 1838,278
Admiral Gambier and Eolus [Aeolus] | July 1808 [MULTI-SHIP],278
Belgravia | 04 April 1866,277
Asia | 25 April 1840,276
Lord Dalhousie | 19 September 1863,271
Bengal Merchant | 24 March 1838,270
James Pattison | 10 July 1837,270
William Jardine | 10 August 1844,270
Bengal Merchant | 27 September 1834,270
Eden | 08 July 1840,270
Bengal Merchant | 04 August 1836,270
Lord Raglan | 03 March 1858,270
Strathfieldsaye | 11 February 1836,270
Duchess of Northumberland | 01 October 1842,270
Nile | 18 September 1857,270
Layton | 26 August 1835,269
Isabella | 15 January 1842,267
Mount Stuart Elphinstone | 26 February 1845,266
Lord Lyndoch | 20 July 1831,266
Theresa | 05 October 1838,266
Maria Somes | 22 April 1844,264
Earl Gray | 04 October 1842,264
William Jardine | 09 August 1850,264
"Lady Penrhyn, Scarborough and Alexander | January 1787 [MULTI-SHIP]",263
Henry Porcher | 01 August 1836,262
Clara | 19 March 1857,262
Merchantman | 29 June 1864,261
Adelaide | 16 April 1855,261
Lady Kennaway | 30 January 1851,261
Surrey | 09 April 1834,260
Layton | 09 July 1839,260
Heroine | 06 May 1833,260
Maria Somes | 03 May 1850,260
Hooghley | 25 July 1834,260
John | 03 August 1833,260
Henry Porcher | 29 August 1834,260
John | 27 September 1836,259
Duncan | 10 December 1840,259
Asia | 12 April 1841,259
Triton | 04 August 1842,256
Sir Robert Peel | 06 September 1844,254
Norwood | 06 April 1867,254
Sarah | 29 November 1836,254
Gilmore | 12 April 1843,254
Argyle | 05 March 1831,251
Perseus and Coromandel | January 1802 [MULTI-SHIP],251
Hive | 15 January 1834,250
Hydrabad | 15 October 1844,250
Joseph Somes | 18 December 1845,250
Surrey | 16 March 1842,250
William Hammond | 03 January 1856,250
Larkins | 24 July 1817,250
Candahar | 26 March 1842,250
London | 15 March 1844,250
Ratcliffe | 25 July 1848,250
Prince George | 20 December 1836,250
General Stewart | 19 July 1818,250
Layton | 06 April 1841,250
Joseph Somes | 02 June 1847,249
Charles Kerr | 06 June 1837,249
Runnymede | 11 June 1856,248
Lord Auckland | 13 July 1844,241
William Metcalf | 23 May 1834,240
Bardaster | 07 September 1835,240
Marquis of Hastings | 16 March 1839,240
Elphinstone | 20 January 1836,240
Elphinstone | 27 May 1837,240
Forfarshire | 24 June 1843,240
Parkfield | 12 May 1839,240
Portsea | 24 July 1838,240
Mount Stuart Elphinstone | 02 February 1848,240
Emily | 25 June 1842,240
Canton | 20 September 1839,240
Marquis of Hastings | 15 July 1842,240
Hashemy | 02 December 1848,239
Lord Petre | 03 July 1843,238
Eden | 30 September 1848,237
Mangles | 08 December 1832,236
Dudbrook | 17 November 1852,235
Aurora | 22 April 1851,234
Captain Cook | 02 May 1833,231
Roslin Castle | 22 May 1834,231
England | 06 June 1835,230
Mount Stewart Elphinstone | 01 June 1849,230
Woodbridge | 10 October 1839,230
Asia | 04 February 1833,230
Elphinstone | 06 April 1842,230
Arab | 22 February 1834,230
Isabella | 03 April 1818,230
Lord Hungerford | July 1821,228
Marquis of Huntley | 05 April 1830,228
Agincourt | 06 July 1844,226
Stag | 02 February 1855,225
Gilmore | 31 October 1831,225
Eliza | 02 February 1831,224
Sultana | 26 May 1859,224
Waterloo | 18 November 1834,224
Isabella | 22 November 1831,224
Strathfieldsay | 22 July 1831,224
Waterloo | 02 October 1837,224
Katherine Stewart Forbes | 21 February 1832,222
